Scalar_B,BX_GSE,BY_GSM,BZ_GSM,SW_Temp,SW_Density,SW_Speed,Flow_Pressure,E_Field,Dst,time
7.8,-5.6,3.2,-4.0,76351.0,5.4,389.0,1.54,1.56,6,1640995200
8.3,-5.3,4.9,0.4,67379.0,4.7,390.0,1.26,-0.16,-3,1640998800
9.3,-2.7,3.9,-4.1,103254.0,2.1,454.0,0.87,1.86,-7,1641002400
9.8,1.7,4.0,-8.4,194757.0,2.7,466.0,1.17,3.91,-13,1641006000
8.5,-3.0,4.6,-4.4,126079.0,1.9,454.0,0.7,2.0,-21,1641009600
8.8,-5.4,6.7,0.0,154091.0,2.0,449.0,0.81,-0.0,-23,1641013200
9.1,-5.8,6.8,-0.2,133017.0,2.2,453.0,0.87,0.09,-17,1641016800
9.3,-6.8,5.2,-3.0,111545.0,1.4,447.0,0.54,1.34,-16,1641020400
9.5,-3.7,6.7,4.2,150687.0,1.9,456.0,0.73,-1.92,-17,1641024000
9.8,-4.1,7.2,4.5,119756.0,1.4,507.0,0.72,-2.28,-13,1641027600
9.7,-5.8,7.6,0.9,117685.0,1.2,541.0,0.7,-0.49,-12,1641859200
9.2,-5.3,7.3,1.1,134037.0,1.2,565.0,0.77,-0.62,-11,1641862800
8.8,-5.7,6.6,0.9,133189.0,1.2,568.0,0.77,-0.51,-10,1641866400
8.5,-5.7,6.2,1.1,119494.0,1.2,567.0,0.77,-0.62,-11,1641870000
8.2,-5.4,5.9,0.8,124221.0,1.1,574.0,0.72,-0.46,-10,1641873600
7.8,-5.4,5.3,-0.2,174084.0,1.3,567.0,0.84,0.11,-7,1641877200
7.3,-5.6,4.1,-0.9,192606.0,1.4,558.0,0.87,0.5,-7,1641880800
7.1,-6.2,-0.3,-1.7,198896.0,1.6,542.0,0.94,0.92,-10,1641884400
7.2,-6.7,-1.4,-1.0,199941.0,1.6,536.0,0.92,0.54,-13,1641888000
7.3,-5.5,1.7,-2.6,222916.0,1.5,539.0,0.82,1.4,-12,1641891600
7.2,-6.0,3.0,1.1,230637.0,1.6,524.0,0.88,-0.58,-12,1641945600
7.1,-3.7,5.1,2.5,243008.0,1.8,560.0,1.13,-1.4,-10,1641949200
7.0,-3.5,5.5,1.5,241194.0,1.8,559.0,1.04,-0.84,-10,1641952800
6.7,-2.9,4.5,-0.2,259011.0,1.9,559.0,1.05,0.11,-8,1641956400
6.9,-1.6,6.2,1.2,280033.0,1.8,582.0,1.08,-0.7,-7,1641081600
6.7,-4.4,3.4,-0.6,249358.0,1.6,534.0,0.91,0.32,-7,1641085200
6.9,-4.0,4.5,2.0,268979.0,1.8,547.0,0.99,-1.09,-8,1641088800
7.1,-3.9,5.0,2.4,233657.0,1.8,546.0,1.07,-1.31,-8,1641092400
7.0,-4.5,4.1,-0.4,231039.0,1.8,530.0,1.01,0.21,-9,1641096000
6.9,-5.1,4.0,-0.1,227412.0,2.1,514.0,1.0,0.05,-13,1641099600
7.0,-3.8,5.7,0.5,184775.0,2.3,515.0,1.1,-0.26,-14,1641103200
7.5,-3.7,6.4,0.1,179556.0,2.2,521.0,1.09,-0.05,-15,1641106800
7.2,-3.8,6.0,-0.2,187904.0,2.2,523.0,1.2,0.1,-14,1641110400
7.3,-4.4,5.7,0.0,159381.0,2.1,513.0,1.02,-0.0,-12,1641114000
6.7,-3.7,5.0,-0.4,190648.0,2.1,518.0,1.13,0.21,-9,1642723200
6.5,-4.3,4.7,-0.5,151248.0,1.7,509.0,0.88,0.25,-6,1642726800
5.6,-3.5,3.7,-0.6,181202.0,2.1,503.0,0.99,0.3,-5,1642730400
6.1,-5.2,2.9,0.1,152624.0,2.1,488.0,0.94,-0.05,-9,1642734000
6.1,-4.8,2.9,-1.0,152157.0,2.2,488.0,1.03,0.49,-11,1642737600
5.5,-4.9,-0.9,-1.4,147355.0,1.8,486.0,0.82,0.68,-6,1642741200
5.5,-2.7,-3.2,-2.2,153982.0,2.4,503.0,1.12,1.11,-5,1642744800
6.0,-4.6,2.3,-0.9,108028.0,2.1,469.0,0.88,0.42,-9,1642748400
5.8,-4.5,-0.4,-2.4,101666.0,2.0,464.0,0.81,1.11,-10,1642752000
5.7,-4.1,-1.1,-2.8,106810.0,2.1,470.0,0.9,1.32,-12,1642755600
6.3,0.2,-4.8,-3.4,123976.0,2.9,521.0,1.57,1.77,-13,1642809600
6.2,-2.4,-4.3,-1.7,130135.0,2.7,496.0,1.27,0.84,-15,1642813200
6.1,-5.3,-1.8,-0.8,92570.0,1.9,461.0,0.78,0.37,-12,1642816800
6.3,-4.8,1.8,0.2,114886.0,2.4,468.0,1.06,-0.09,-4,1642820400
6.1,-2.5,0.8,0.5,215040.0,4.0,506.0,1.8,-0.25,3,1641168000
6.6,-3.7,4.8,1.0,170879.0,3.6,494.0,1.76,-0.49,1,1641171600
6.4,-3.1,4.1,1.1,205066.0,4.0,502.0,2.02,-0.55,-1,1641175200
6.0,-1.5,3.2,-1.9,235103.0,3.4,526.0,1.88,1.0,-1,1641178800
5.3,0.4,-1.3,-1.4,338468.0,3.7,551.0,2.25,0.77,-6,1641182400
7.2,5.1,-2.1,-4.0,196440.0,2.4,595.0,1.7,2.38,-12,1641186000
6.9,4.9,1.3,-4.5,165178.0,2.3,601.0,1.66,2.7,-17,1641189600
6.4,2.3,3.5,-4.0,185181.0,2.4,574.0,1.47,2.3,-17,1641193200
6.4,-1.6,4.6,-3.7,192666.0,2.9,534.0,1.52,1.98,-20,1641196800
6.4,-4.9,2.3,-2.8,102119.0,4.9,540.0,2.74,1.51,-21,1641200400
8.8,-8.1,2.7,-0.3,86045.0,3.3,530.0,1.63,0.16,-25,1643587200
7.4,-5.7,2.2,3.9,81255.0,3.7,523.0,1.83,-2.04,-20,1643590800
6.1,-4.2,2.4,3.6,33138.0,4.3,525.0,2.28,-1.89,-11,1643594400
4.9,-3.2,1.0,3.1,54133.0,3.9,519.0,1.94,-1.61,-8,1643598000
5.2,-3.7,2.9,0.2,65143.0,2.8,510.0,1.29,-0.1,-10,1643601600
5.2,-4.0,0.7,1.3,72899.0,2.9,503.0,1.31,-0.65,-8,1643605200
5.0,-3.3,2.3,0.6,87765.0,3.0,498.0,1.33,-0.3,-8,1643608800
5.3,-3.7,3.1,-1.7,87866.0,3.0,498.0,1.33,0.85,-9,1643612400
